yr,wk,matches
2013,15,15
2013,14,1110
2013,13,7
2013,12,11
2013,11,8
2013,10,9
2013,9,190
2013,8,194
2013,7,124
2013,6,170
2013,5,150
2013,4,134
2013,3,122
2013,2,81
2013,1,39
2012,52,30
2012,51,47
2012,50,77
2012,49,69
2012,48,45
2012,47,51
2012,46,37
2012,45,31
2012,44,13
2012,43,10
2012,42,10
2012,41,17
2012,40,17
2012,39,13
2012,38,20
2012,37,35
2012,36,16
2012,35,94
2012,34,3
2012,1,8
