yr,wk,false_positives
2013,15,6
2013,14,7
2013,13,5
2013,12,4
2013,11,10
2013,10,25
2013,9,178
2013,8,164
2013,7,129
2013,6,164
2013,5,97
2013,4,124
2013,3,101
2013,2,66
2013,1,28
2012,52,18
2012,51,55
2012,50,84
2012,49,30
2012,48,67
2012,47,65
2012,46,4
2012,45,27
2012,44,15
2012,43,13
2012,42,12
2012,41,10
2012,40,12
2012,39,72
2012,38,18
2012,37,52
2012,36,4
2012,35,13
2012,34,2
2012,1,27
