yr,wk,matches
2013,15,19
2013,14,1565
2013,13,9
2013,12,15
2013,11,10
2013,10,11
2013,9,273
2013,8,271
2013,7,197
2013,6,250
2013,5,219
2013,4,188
2013,3,180
2013,2,123
2013,1,65
2012,52,40
2012,51,71
2012,50,107
2012,49,97
2012,48,66
2012,47,79
2012,46,61
2012,45,46
2012,44,14
2012,43,11
2012,42,14
2012,41,23
2012,40,23
2012,39,15
2012,38,25
2012,37,60
2012,36,27
2012,35,140
2012,34,5
2012,1,10
