yr,wk,false_positives
2013,15,8
2013,14,8
2013,13,5
2013,12,5
2013,11,11
2013,10,28
2013,9,250
2013,8,241
2013,7,197
2013,6,250
2013,5,124
2013,4,182
2013,3,156
2013,2,99
2013,1,46
2012,52,28
2012,51,76
2012,50,119
2012,49,40
2012,48,103
2012,47,100
2012,46,10
2012,45,37
2012,44,15
2012,43,19
2012,42,17
2012,41,15
2012,40,12
2012,39,122
2012,38,28
2012,37,67
2012,36,7
2012,35,22
2012,34,3
2012,1,36
